epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4259,0.383,0.34664,1.11225,0.84344,0.88487,0.8315,0.90608,0.83432,0.86486,0.82333,0.89154,0.81565,0.35929,0.71251,0.64573,0.82575,0.000550705,0.000550705,0.000550705
2,81.2024,0.43916,0.28463,0.50366,0.85622,0.99308,1,0.995,0.93032,0.99308,1,0.995,0.97933,0.39274,0.18881,0.47775,0.83412,0.00109542,0.00109542,0.00109542
3,121.059,0.46343,0.25164,0.45044,0.86558,0.75447,0.65823,0.68738,0.59432,0.74596,0.6519,0.68698,0.60866,0.64334,1.34591,1.2092,1.01618,0.00162913,0.00162913,0.00162913
4,163.49,0.41849,0.26629,0.40239,0.85178,0.9733,0.98734,0.99011,0.93246,0.9733,0.98734,0.99011,0.9579,0.34671,0.42767,0.36402,0.82383,0.00161749,0.00161749,0.00161749
5,209.153,0.3957,0.23541,0.35934,0.84841,0.56417,0.77138,0.74875,0.72285,0.56417,0.77138,0.74875,0.72204,0.29862,0.3802,1.98522,0.81201,0.00160099,0.00160099,0.00160099
6,256.903,0.38706,0.24844,0.38684,0.83827,0.99646,0.99999,0.995,0.97586,0.99646,0.99999,0.995,0.98979,0.28026,0.15231,0.25837,0.81258,0.00158448,0.00158448,0.00158448
7,305.501,0.35666,0.23117,0.31873,0.83287,0.9983,1,0.995,0.98273,0.9983,1,0.995,0.98192,0.24413,0.14402,0.24701,0.79558,0.00156798,0.00156798,0.00156798
8,357.296,0.34075,0.22727,0.30067,0.8313,0.99867,1,0.995,0.9787,0.99867,1,0.995,0.98714,0.2339,0.16901,0.23342,0.79439,0.00155148,0.00155148,0.00155148
9,407.845,0.32816,0.22522,0.29383,0.83119,0.99815,1,0.995,0.98542,0.99815,1,0.995,0.99288,0.25261,0.15039,0.21971,0.79399,0.00153497,0.00153497,0.00153497
10,455.78,0.31139,0.21979,0.28007,0.82432,0.99898,1,0.995,0.99229,0.99898,1,0.995,0.98533,0.20078,0.15211,0.19962,0.78634,0.00151847,0.00151847,0.00151847
11,502.716,0.29539,0.21325,0.26277,0.8222,0.99158,0.97567,0.99475,0.98707,0.99158,0.97567,0.99475,0.98681,0.21789,0.1563,0.27595,0.78513,0.00150197,0.00150197,0.00150197
12,548.802,0.29829,0.21127,0.26286,0.82443,0.99911,1,0.995,0.99191,0.99911,1,0.995,0.99137,0.19406,0.13989,0.18247,0.78307,0.00148546,0.00148546,0.00148546
13,594.263,0.28924,0.20504,0.26439,0.8178,0.99568,0.99021,0.995,0.99245,0.99568,0.99021,0.995,0.99122,0.20939,0.1559,0.2053,0.78447,0.00146896,0.00146896,0.00146896
14,639.65,0.28046,0.20807,0.27052,0.82087,0.99086,0.99833,0.995,0.99209,0.99086,0.99833,0.995,0.99,0.20485,0.15408,0.22645,0.78409,0.00145246,0.00145246,0.00145246
15,685.577,0.28474,0.21966,0.25366,0.81777,0.99374,1,0.995,0.99223,0.99374,1,0.995,0.99125,0.19726,0.14818,0.18592,0.78432,0.00143595,0.00143595,0.00143595
16,730.302,0.28995,0.22152,0.25211,0.82554,0.99927,1,0.995,0.99112,0.99927,1,0.995,0.9883,0.20215,0.14433,0.1802,0.78222,0.00141945,0.00141945,0.00141945
17,774.79,0.27372,0.20392,0.23694,0.81232,0.99926,1,0.995,0.99465,0.99926,1,0.995,0.99172,0.17573,0.13805,0.16808,0.77917,0.00140295,0.00140295,0.00140295
18,820.683,0.26846,0.19635,0.23344,0.81283,0.99919,1,0.995,0.98812,0.99919,1,0.995,0.99215,0.2001,0.13647,0.18551,0.78187,0.00138644,0.00138644,0.00138644
19,865.654,0.26276,0.20099,0.23414,0.81326,0.89901,0.9234,0.96647,0.96384,0.89901,0.9234,0.96647,0.96233,0.18488,0.13646,0.75546,0.7791,0.00136994,0.00136994,0.00136994
20,910.601,0.26088,0.20156,0.2325,0.81891,0.98589,1,0.99406,0.99301,0.98589,1,0.99406,0.9869,0.17123,0.13972,0.19023,0.77855,0.00135344,0.00135344,0.00135344
21,955.86,0.25562,0.20133,0.23725,0.81634,0.93999,0.90595,0.96512,0.96494,0.93999,0.90595,0.96512,0.95785,0.16582,0.14679,0.62798,0.77776,0.00133693,0.00133693,0.00133693
22,1001.3,0.24943,0.20678,0.21926,0.81209,0.99923,1,0.995,0.99359,0.99923,1,0.995,0.98945,0.16117,0.14688,0.14972,0.77756,0.00132043,0.00132043,0.00132043
23,1046.53,0.25359,0.20351,0.2199,0.81215,0.99868,1,0.995,0.99465,0.99868,1,0.995,0.9896,0.1527,0.1373,0.15017,0.7756,0.00130393,0.00130393,0.00130393
24,1091.66,0.24973,0.20214,0.21244,0.8115,0.99925,1,0.995,0.995,0.99925,1,0.995,0.98977,0.15047,0.12484,0.15974,0.77574,0.00128742,0.00128742,0.00128742
25,1136.8,0.24195,0.18964,0.20395,0.80989,0.99927,1,0.995,0.995,0.99927,1,0.995,0.99221,0.16015,0.12915,0.1495,0.77835,0.00127092,0.00127092,0.00127092
26,1182.23,0.2518,0.20261,0.20937,0.81143,0.99914,1,0.995,0.99413,0.99914,1,0.995,0.98959,0.16363,0.13608,0.16337,0.77765,0.00125442,0.00125442,0.00125442
27,1227.58,0.2481,0.20291,0.21467,0.8133,0.99933,1,0.995,0.99435,0.99933,1,0.995,0.99175,0.14678,0.12855,0.14578,0.7741,0.00123791,0.00123791,0.00123791
28,1272.8,0.23377,0.20131,0.19967,0.80723,0.99924,1,0.995,0.99472,0.99924,1,0.995,0.98949,0.14538,0.13384,0.1375,0.7737,0.00122141,0.00122141,0.00122141
29,1317.82,0.23395,0.1987,0.19659,0.80727,0.99932,1,0.995,0.99435,0.99932,1,0.995,0.99011,0.13824,0.12883,0.13407,0.77416,0.00120491,0.00120491,0.00120491
30,1363.24,0.23805,0.19412,0.20426,0.81387,0.9992,1,0.995,0.99438,0.9992,1,0.995,0.99122,0.15937,0.13365,0.14876,0.7784,0.0011884,0.0011884,0.0011884
31,1408.52,0.23374,0.19156,0.19786,0.81391,0.9992,1,0.995,0.99474,0.9992,1,0.995,0.98926,0.15033,0.12966,0.14458,0.77582,0.0011719,0.0011719,0.0011719
32,1453.75,0.23211,0.18448,0.19597,0.80261,0.99873,1,0.995,0.995,0.99873,1,0.995,0.98885,0.14687,0.1335,0.14183,0.77426,0.0011554,0.0011554,0.0011554
33,1499.1,0.22763,0.19229,0.19425,0.8083,0.99965,1,0.995,0.99441,0.99965,1,0.995,0.99032,0.143,0.12897,0.13607,0.77433,0.00113889,0.00113889,0.00113889
34,1544.92,0.2295,0.20433,0.18958,0.80817,0.99923,1,0.995,0.995,0.99923,1,0.995,0.99147,0.1325,0.1396,0.12654,0.77183,0.00112239,0.00112239,0.00112239
35,1590.43,0.22081,0.19816,0.19611,0.8099,0.99913,1,0.995,0.99468,0.99913,1,0.995,0.99093,0.144,0.13309,0.13571,0.77312,0.00110589,0.00110589,0.00110589
36,1635.43,0.23263,0.18654,0.1936,0.80485,0.99924,1,0.995,0.995,0.99924,1,0.995,0.99142,0.14555,0.12295,0.14171,0.7735,0.00108938,0.00108938,0.00108938
37,1680.45,0.23109,0.19388,0.19501,0.81343,0.99927,1,0.995,0.99472,0.99927,1,0.995,0.99119,0.13962,0.12844,0.12694,0.77393,0.00107288,0.00107288,0.00107288
