epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9742,0.39905,0.3377,1.65516,0.82444,0.93902,0.96971,0.99207,0.93693,0.93902,0.96971,0.99207,0.97254,0.33719,0.20397,1.63047,0.79507,0.000550705,0.000550705,0.000550705
2,59.4011,0.42404,0.26895,0.91179,0.84382,0.99499,1,0.995,0.93942,0.99499,1,0.995,0.98653,0.32222,0.192,0.66831,0.81101,0.00109542,0.00109542,0.00109542
3,86.487,0.42224,0.25229,0.66624,0.85181,0.99858,1,0.995,0.95383,0.99858,1,0.995,0.98439,0.29965,0.17422,0.33457,0.80959,0.00162913,0.00162913,0.00162913
4,113.813,0.40383,0.26248,0.56132,0.84549,0.97837,0.99393,0.99386,0.96821,0.97837,0.99393,0.99386,0.9818,0.27524,0.165,0.36813,0.79988,0.00161749,0.00161749,0.00161749
5,141.671,0.3695,0.24547,0.43233,0.84028,0.99854,1,0.995,0.96867,0.99854,1,0.995,0.97592,0.27204,0.17093,0.30282,0.79803,0.00160099,0.00160099,0.00160099
6,170.188,0.35881,0.23396,0.39181,0.83089,0.99153,0.98985,0.995,0.97567,0.99153,0.98985,0.995,0.98837,0.25655,0.14914,0.28041,0.7974,0.00158448,0.00158448,0.00158448
7,199.233,0.34668,0.23868,0.36042,0.82864,0.99927,1,0.995,0.98075,0.99927,1,0.995,0.98249,0.23763,0.14275,0.23869,0.79063,0.00156798,0.00156798,0.00156798
8,228.016,0.32618,0.22178,0.3389,0.82612,0.99893,1,0.995,0.99064,0.99893,1,0.995,0.99099,0.2144,0.16017,0.2235,0.78473,0.00155148,0.00155148,0.00155148
9,257.339,0.31601,0.22567,0.3121,0.82538,0.85143,0.93944,0.99031,0.97423,0.85143,0.93944,0.99031,0.98413,0.23017,0.15884,0.46994,0.78745,0.00153497,0.00153497,0.00153497
10,286.03,0.32053,0.21675,0.3021,0.82234,0.9991,1,0.995,0.98859,0.9991,1,0.995,0.99033,0.22419,0.14267,0.23279,0.79432,0.00151847,0.00151847,0.00151847
11,315.576,0.31404,0.21732,0.28837,0.82473,0.99893,1,0.995,0.98799,0.99893,1,0.995,0.98824,0.22063,0.14923,0.22059,0.78888,0.00150197,0.00150197,0.00150197
12,344.738,0.30423,0.2095,0.27964,0.82496,0.99929,1,0.995,0.99297,0.99929,1,0.995,0.98525,0.17943,0.14638,0.1893,0.78157,0.00148546,0.00148546,0.00148546
13,374.04,0.28765,0.22225,0.27558,0.81666,0.99909,1,0.995,0.99252,0.99909,1,0.995,0.99011,0.18629,0.13669,0.19595,0.78256,0.00146896,0.00146896,0.00146896
14,403.095,0.28605,0.21356,0.26865,0.82052,0.99933,1,0.995,0.99413,0.99933,1,0.995,0.9869,0.17044,0.14489,0.17975,0.7784,0.00145246,0.00145246,0.00145246
15,431.951,0.27524,0.22547,0.25991,0.81706,0.99844,1,0.995,0.99316,0.99844,1,0.995,0.98574,0.19288,0.1456,0.18816,0.78646,0.00143595,0.00143595,0.00143595
16,461.222,0.28181,0.22099,0.26039,0.82424,0.9993,1,0.995,0.99431,0.9993,1,0.995,0.99207,0.18641,0.14551,0.18403,0.78189,0.00141945,0.00141945,0.00141945
17,490.216,0.27109,0.20941,0.24477,0.81191,0.99923,1,0.995,0.99284,0.99923,1,0.995,0.99147,0.17165,0.13887,0.17215,0.78084,0.00140295,0.00140295,0.00140295
18,519.938,0.26119,0.19757,0.24701,0.80996,0.9991,1,0.995,0.99363,0.9991,1,0.995,0.99,0.16467,0.13287,0.16628,0.77653,0.00138644,0.00138644,0.00138644
19,549.708,0.26327,0.20624,0.23431,0.81198,0.99934,1,0.995,0.99288,0.99934,1,0.995,0.9909,0.17805,0.13681,0.17191,0.78042,0.00136994,0.00136994,0.00136994
20,579.078,0.26383,0.2043,0.22892,0.81839,0.99931,1,0.995,0.99474,0.99931,1,0.995,0.9896,0.16218,0.12824,0.16309,0.77626,0.00135344,0.00135344,0.00135344
21,608.529,0.25815,0.20564,0.22943,0.81586,0.99873,1,0.995,0.995,0.99873,1,0.995,0.98598,0.15843,0.13947,0.15258,0.77617,0.00133693,0.00133693,0.00133693
22,637.99,0.25307,0.21065,0.22901,0.81269,0.99928,1,0.995,0.99421,0.99928,1,0.995,0.98978,0.15031,0.14547,0.1487,0.7756,0.00132043,0.00132043,0.00132043
23,667.409,0.25872,0.20907,0.22504,0.81278,0.99904,1,0.995,0.995,0.99904,1,0.995,0.99099,0.16777,0.13736,0.1581,0.77825,0.00130393,0.00130393,0.00130393
24,697.242,0.25233,0.20669,0.22489,0.81233,0.99927,1,0.995,0.99427,0.99927,1,0.995,0.98908,0.16431,0.12968,0.16532,0.77728,0.00128742,0.00128742,0.00128742
25,727.251,0.24742,0.19614,0.21673,0.81017,0.99926,1,0.995,0.99464,0.99926,1,0.995,0.99045,0.15548,0.13615,0.15096,0.77601,0.00127092,0.00127092,0.00127092
26,756.857,0.25089,0.20515,0.21212,0.81081,0.99907,1,0.995,0.995,0.99907,1,0.995,0.98923,0.14651,0.13987,0.14018,0.77456,0.00125442,0.00125442,0.00125442
