epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3682,0.46822,0.45618,2.35727,0.83591,0.00329,0.97468,0.57174,0.42135,0.00339,1,0.63133,0.58185,0.38105,0.30451,3.21457,0.81042,0.000541044,0.000541044,0.000541044
2,28.8713,0.47113,0.31131,1.40237,0.83503,0.74657,0.45226,0.74432,0.67265,0.74657,0.45226,0.74857,0.71524,0.42483,0.39235,2.33333,0.83152,0.00108585,0.00108585,0.00108585
3,39.9113,0.49747,0.311,1.14782,0.85653,0.98492,0.97065,0.99095,0.92186,0.98492,0.97065,0.99095,0.98179,0.39795,0.20836,1.1094,0.84635,0.00161966,0.00161966,0.00161966
4,51.019,0.48303,0.29579,1.03636,0.86509,0.75957,0.82194,0.85791,0.78678,0.75957,0.82194,0.85791,0.85259,0.42862,0.1884,1.52088,0.85832,0.00161749,0.00161749,0.00161749
5,61.916,0.45017,0.2482,0.95289,0.85492,0.93041,0.96231,0.99233,0.92248,0.93041,0.96231,0.99233,0.97626,0.37948,0.17347,0.72724,0.85074,0.00160099,0.00160099,0.00160099
6,72.4466,0.44511,0.23234,0.77388,0.8566,0.99078,0.99534,0.995,0.9467,0.99078,0.99534,0.995,0.97799,0.33467,0.18194,0.4676,0.82619,0.00158448,0.00158448,0.00158448
7,83.2869,0.41012,0.24804,0.66947,0.84308,0.97438,0.97282,0.99494,0.95557,0.97438,0.97282,0.99494,0.97343,0.31166,0.20472,0.42735,0.8174,0.00156798,0.00156798,0.00156798
8,93.9684,0.41308,0.24466,0.60717,0.84076,0.94894,0.9084,0.98468,0.95487,0.94894,0.9084,0.98468,0.97969,0.2824,0.16327,0.54206,0.80264,0.00155148,0.00155148,0.00155148
9,104.693,0.38707,0.23061,0.56454,0.83512,0.99915,1,0.995,0.96214,0.99915,1,0.995,0.98321,0.28942,0.16086,0.32193,0.8068,0.00153497,0.00153497,0.00153497
10,115.299,0.39957,0.2243,0.52818,0.83849,0.99912,1,0.995,0.97033,0.99912,1,0.995,0.98034,0.28065,0.15007,0.31077,0.80215,0.00151847,0.00151847,0.00151847
