epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,725.353,0.24925,0.19455,0.22149,0.81214,0.99928,1,0.995,0.995,0.99928,1,0.995,0.98886,0.15059,0.13255,0.16215,0.77738,0.0011554,0.0011554,0.0011554
33,748.967,0.24677,0.19147,0.21228,0.8162,0.99935,1,0.995,0.995,0.99935,1,0.995,0.98448,0.17088,0.1338,0.1513,0.77786,0.00113889,0.00113889,0.00113889
34,772.713,0.25657,0.19666,0.22032,0.8124,0.9992,1,0.995,0.995,0.9992,1,0.995,0.98734,0.15878,0.13349,0.15506,0.77778,0.00112239,0.00112239,0.00112239
35,797.025,0.25686,0.19901,0.23505,0.8153,0.99929,1,0.995,0.99461,0.99929,1,0.995,0.99018,0.15797,0.12633,0.14944,0.77834,0.00110589,0.00110589,0.00110589
36,821.06,0.25504,0.20459,0.22114,0.80927,0.99929,1,0.995,0.99467,0.99929,1,0.995,0.98932,0.14197,0.12786,0.13692,0.77296,0.00108938,0.00108938,0.00108938
37,844.887,0.23927,0.2009,0.20935,0.80906,0.99906,1,0.995,0.995,0.99906,1,0.995,0.98997,0.16861,0.13388,0.15819,0.77674,0.00107288,0.00107288,0.00107288
38,868.742,0.25283,0.21293,0.21425,0.81541,0.99933,1,0.995,0.995,0.99933,1,0.995,0.98864,0.15446,0.13051,0.14429,0.77436,0.00105638,0.00105638,0.00105638
39,892.287,0.23805,0.19774,0.21458,0.8105,0.99911,1,0.995,0.99435,0.99911,1,0.995,0.98885,0.14394,0.13258,0.13795,0.77443,0.00103987,0.00103987,0.00103987
40,916.532,0.23365,0.2021,0.20389,0.80614,0.99934,1,0.995,0.99437,0.99934,1,0.995,0.98855,0.14507,0.12576,0.14112,0.77447,0.00102337,0.00102337,0.00102337
41,940.075,0.24369,0.19724,0.20497,0.80502,0.99927,1,0.995,0.995,0.99927,1,0.995,0.98803,0.1492,0.13154,0.14456,0.77416,0.00100687,0.00100687,0.00100687
