epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8154,1.9824,5.1644,4.84766,1.69032,0.00177,0.53922,0.00172,0.00154,0.00177,0.53922,0.00172,0.00156,1.24955,3.56824,4.2273,1.35337,0.00023338,0.00023338,0.00023338
2,17.7801,1.45466,2.95386,3.11674,1.2147,0.00293,0.85294,0.00485,0.00251,0.00238,0.73529,0.00417,0.0025,1.26724,3.09266,3.94854,1.19512,0.000481835,0.000481835,0.000481835
3,22.5972,1.39744,2.67523,2.55719,1.18895,0.00099,0.47727,0.01831,0.00668,0.00104,0.5,0.02765,0.01876,1.05539,2.80675,3.64248,1.11953,0.000728639,0.000728639,0.000728639
4,27.3709,1.2845,2.27607,2.22319,1.14893,0.00271,0.80392,0.16,0.0995,0.00266,0.79412,0.23038,0.15278,1.10712,2.34915,3.24085,1.22403,0.000973793,0.000973793,0.000973793
5,32.2162,1.28456,2.16349,1.90053,1.10116,0.95489,0.09893,0.65447,0.42706,0.95489,0.09893,0.66594,0.39956,1.14171,2.07753,2.53173,1.18656,0.0012173,0.0012173,0.0012173
6,36.932,1.33512,1.90215,1.87343,1.15602,0.71541,0.33163,0.66487,0.51261,0.71541,0.33163,0.64136,0.42837,1.13657,2.41258,2.77555,1.21498,0.00145915,0.00145915,0.00145915
7,41.5449,1.22289,1.99441,1.66964,1.08724,0.92579,0.92115,0.94262,0.67593,0.93458,0.9263,0.94267,0.62976,1.08335,2.49343,1.95757,1.19143,0.00163399,0.00163399,0.00163399
8,46.2258,1.1623,1.84422,1.57847,1.08025,0.94848,0.92173,0.98987,0.68437,0.9371,0.91422,0.98284,0.6514,1.26733,2.05985,1.49008,1.30373,0.00162849,0.00162849,0.00162849
9,50.8985,1.15592,1.79489,1.56183,1.06798,0.9478,0.87255,0.97299,0.68361,0.9478,0.87255,0.97299,0.65531,1.25489,1.82776,1.51725,1.29528,0.00162299,0.00162299,0.00162299
10,55.4411,1.34452,1.82968,1.93577,1.12581,0.96101,0.98704,0.99336,0.74841,0.96101,0.98704,0.99336,0.74127,0.96975,1.57742,1.05997,1.11051,0.00161749,0.00161749,0.00161749
11,60.1014,1.13411,1.47966,1.30055,1.04104,0.95609,0.97078,0.99272,0.70466,0.95609,0.97078,0.99272,0.72979,1.6568,1.54657,0.98996,1.54395,0.00161199,0.00161199,0.00161199
12,64.5725,1.00366,1.35167,1.17164,1.01637,0.96207,0.9902,0.99267,0.73114,0.96207,0.9902,0.99267,0.74822,1.57703,1.58811,0.91488,1.52349,0.00160649,0.00160649,0.00160649
13,69.0558,1.05735,1.49318,1.17235,1.03744,0.96659,1,0.98986,0.74797,0.95596,0.9902,0.98716,0.72191,1.25598,1.81309,0.85925,1.24628,0.00160099,0.00160099,0.00160099
14,73.7688,1.04695,1.45163,1.14738,0.98539,0.98357,0.99583,0.995,0.78253,0.98357,0.99583,0.995,0.75498,0.90164,1.44475,0.77559,1.05527,0.00159549,0.00159549,0.00159549
15,78.4056,1.00839,1.35216,1.07658,1.00398,0.91682,0.84091,0.94255,0.72154,0.91682,0.84091,0.94255,0.65803,0.94817,1.79437,1.01223,1.10471,0.00158998,0.00158998,0.00158998
16,83.0562,1.01072,1.41365,1.02697,0.99436,0.97262,0.99538,0.99433,0.75227,0.96291,0.98557,0.99057,0.75459,1.68757,2.38796,0.8906,1.70295,0.00158448,0.00158448,0.00158448
17,87.6407,0.927,1.2084,0.90124,0.97221,0.98209,1,0.995,0.7663,0.98209,1,0.995,0.76662,1.20926,1.24016,0.73338,1.25621,0.00157898,0.00157898,0.00157898
18,92.2524,0.94541,1.23537,0.9315,0.99057,0.931,0.94463,0.9891,0.77899,0.931,0.94463,0.9891,0.76869,1.26797,1.47633,0.77165,1.37646,0.00157348,0.00157348,0.00157348
19,96.6966,0.99646,1.37142,0.89853,1.00523,0.97648,0.96794,0.99452,0.8019,0.97648,0.96794,0.99016,0.74145,1.05168,1.55758,0.74274,1.17218,0.00156798,0.00156798,0.00156798
20,101.473,0.92662,1.34877,0.8662,0.98226,0.97654,0.97059,0.99423,0.78217,0.97654,0.97059,0.99423,0.76956,1.03649,1.44066,0.74275,1.13174,0.00156248,0.00156248,0.00156248
21,106.314,0.90335,1.23564,0.80471,0.95722,0.91407,0.9796,0.99325,0.79682,0.91407,0.9796,0.99325,0.7669,0.82396,1.45501,0.70314,1.03509,0.00155698,0.00155698,0.00155698
22,110.896,0.89601,1.13686,0.7944,0.94707,0.98861,0.99955,0.995,0.77632,0.98861,0.99955,0.995,0.80513,1.14345,1.25632,0.65129,1.18299,0.00155148,0.00155148,0.00155148
23,115.475,0.90804,1.25499,0.77365,0.95366,0.97913,0.99742,0.995,0.8185,0.97913,0.99742,0.995,0.78036,0.80147,1.32618,1.06,1.02652,0.00154598,0.00154598,0.00154598
24,120.077,0.94964,1.33292,0.78636,0.98554,0.99162,1,0.995,0.79365,0.99162,1,0.995,0.74834,1.05321,1.5062,0.63327,1.1778,0.00154047,0.00154047,0.00154047
25,124.82,0.9927,1.28041,0.79192,0.99045,0.9848,1,0.995,0.80816,0.9848,1,0.995,0.79903,0.98418,1.44571,0.60291,1.09319,0.00153497,0.00153497,0.00153497
26,129.412,0.97916,1.21162,0.84887,0.99009,0.97685,1,0.99385,0.80713,0.97685,1,0.99385,0.82205,0.87174,1.14005,1.04007,1.0474,0.00152947,0.00152947,0.00152947
27,133.987,0.8444,1.06385,0.7611,0.93367,0.99726,1,0.995,0.80654,0.99726,1,0.995,0.82616,0.89839,1.30923,0.65871,1.05009,0.00152397,0.00152397,0.00152397
28,138.597,0.83418,1.07803,0.67751,0.91795,0.9903,1,0.995,0.77856,0.9903,1,0.995,0.77639,1.07943,1.14437,0.76839,1.17801,0.00151847,0.00151847,0.00151847
29,143.292,0.91039,1.13841,0.70058,0.94907,0.99369,1,0.995,0.78821,0.99369,1,0.995,0.82197,1.04668,1.24008,0.70938,1.16507,0.00151297,0.00151297,0.00151297
30,147.876,0.91222,1.20112,0.68267,0.99805,0.99116,0.99677,0.995,0.81227,0.99116,0.99677,0.995,0.81894,0.92643,1.15652,0.59279,1.07295,0.00150747,0.00150747,0.00150747
31,152.804,0.82391,1.07298,0.64969,0.9405,0.97748,0.99725,0.99394,0.77778,0.97748,0.99725,0.99394,0.78317,1.22605,1.93988,0.74351,1.28767,0.00150197,0.00150197,0.00150197
32,157.291,0.83239,1.0013,0.6822,0.93762,0.98839,1,0.995,0.8122,0.98839,1,0.995,0.79473,1.10241,1.32949,0.63176,1.19667,0.00149647,0.00149647,0.00149647
33,161.938,0.8106,1.00515,0.65645,0.95315,0.99145,1,0.995,0.85206,0.99145,1,0.995,0.81802,0.91054,1.23762,0.59567,1.07911,0.00149096,0.00149096,0.00149096
34,167.125,0.81454,1.06709,0.64163,0.96165,0.99365,1,0.995,0.81314,0.99365,1,0.995,0.81049,0.99478,1.14604,0.59261,1.11687,0.00148546,0.00148546,0.00148546
35,172.088,0.84932,1.09892,0.65643,0.94525,0.98889,1,0.995,0.79804,0.98889,1,0.995,0.80478,0.97736,1.12673,0.61457,1.11025,0.00147996,0.00147996,0.00147996
36,176.907,0.88943,1.02947,0.67317,0.9319,0.99041,1,0.995,0.82965,0.99041,1,0.995,0.82791,0.81477,1.12996,0.52318,1.01164,0.00147446,0.00147446,0.00147446
37,181.832,0.96258,1.33898,0.67395,0.96135,0.98314,1,0.995,0.82433,0.98314,1,0.995,0.81848,0.76938,1.23056,0.59008,0.98862,0.00146896,0.00146896,0.00146896
38,186.715,0.84846,1.18415,0.61475,0.96482,0.98662,0.99974,0.995,0.83341,0.98662,0.99974,0.995,0.82744,0.86253,1.00005,0.55229,1.03841,0.00146346,0.00146346,0.00146346
39,191.488,0.8031,0.95499,0.58448,0.9129,0.98805,1,0.995,0.83305,0.98805,1,0.995,0.81047,1.1279,1.06519,0.55208,1.18591,0.00145796,0.00145796,0.00145796
40,196.546,0.80566,1.10532,0.59332,0.9247,0.9893,1,0.995,0.82318,0.9893,1,0.995,0.78465,0.95834,1.04804,0.59905,1.08527,0.00145246,0.00145246,0.00145246
41,201.323,0.78018,1.14431,0.61893,0.93254,0.99043,1,0.995,0.82435,0.99043,1,0.995,0.81115,1.05014,1.08927,0.61262,1.17149,0.00144696,0.00144696,0.00144696
42,206.179,0.8007,1.16698,0.6287,0.93239,0.9889,1,0.995,0.82809,0.9889,1,0.995,0.80168,1.0149,1.04744,0.61857,1.10182,0.00144145,0.00144145,0.00144145
43,211.079,0.81081,1.061,0.59809,0.91867,0.99098,1,0.995,0.84363,0.99098,1,0.995,0.82175,0.84541,1.02339,0.53312,1.01595,0.00143595,0.00143595,0.00143595
44,215.931,0.80596,1.02186,0.60466,0.93135,0.9921,1,0.995,0.82546,0.9921,1,0.995,0.81988,0.6877,1.07815,0.49145,0.95625,0.00143045,0.00143045,0.00143045
45,220.534,0.78567,1.02722,0.57807,0.90902,0.98955,0.99927,0.995,0.82007,0.98955,0.99927,0.995,0.82474,0.78817,0.93461,0.50654,0.98857,0.00142495,0.00142495,0.00142495
46,225.248,0.78346,1.13209,0.56706,0.92298,0.99082,1,0.995,0.83447,0.99082,1,0.995,0.81748,0.93258,0.94839,0.532,1.06999,0.00141945,0.00141945,0.00141945
47,230.317,0.79377,1.09139,0.57054,0.92708,0.98702,0.986,0.9949,0.8225,0.98702,0.986,0.9949,0.81986,0.81305,0.91736,0.50065,1.00074,0.00141395,0.00141395,0.00141395
48,235.272,0.83336,0.99745,0.5957,0.93886,0.99228,1,0.995,0.82653,0.99228,1,0.995,0.8355,0.72592,0.94393,0.50843,0.96273,0.00140845,0.00140845,0.00140845
49,239.878,0.76261,0.94698,0.52689,0.90655,0.99086,1,0.995,0.83002,0.99086,1,0.995,0.82334,0.71847,1.09321,0.45005,0.96934,0.00140295,0.00140295,0.00140295
50,244.61,0.77394,1.01737,0.54191,0.92493,0.99271,1,0.995,0.85654,0.99271,1,0.995,0.82297,0.69749,0.97059,0.42772,0.95903,0.00139745,0.00139745,0.00139745
51,249.541,0.75549,1.00678,0.54491,0.92409,0.99184,1,0.995,0.83711,0.99184,1,0.995,0.8246,0.80011,0.93582,0.47393,1.00054,0.00139195,0.00139195,0.00139195
52,254.405,0.77282,1.1422,0.53585,0.87839,0.99096,1,0.995,0.85619,0.99096,1,0.995,0.85423,0.76977,0.88586,0.4786,0.98953,0.00138644,0.00138644,0.00138644
53,259.088,0.72138,0.91462,0.52131,0.89728,0.99017,1,0.995,0.85848,0.99017,1,0.995,0.85626,0.70235,0.94151,0.41054,0.95421,0.00138094,0.00138094,0.00138094
54,263.735,0.75788,0.99231,0.55441,0.89525,0.99335,1,0.995,0.85254,0.99335,1,0.995,0.82318,0.67211,0.9374,0.46256,0.94345,0.00137544,0.00137544,0.00137544
55,268.596,0.70632,0.89993,0.49661,0.86902,0.99559,1,0.995,0.84167,0.99559,1,0.995,0.84042,0.68585,1.00698,0.43258,0.93864,0.00136994,0.00136994,0.00136994
56,273.372,0.73251,0.94455,0.50245,0.91138,0.99134,1,0.995,0.84528,0.99134,1,0.995,0.84731,0.68777,0.86609,0.44909,0.95039,0.00136444,0.00136444,0.00136444
57,277.911,0.76473,1.02594,0.53211,0.91775,0.99125,1,0.995,0.83828,0.99125,1,0.995,0.80299,0.91925,1.19983,0.58785,1.04835,0.00135894,0.00135894,0.00135894
58,282.691,0.75758,0.95569,0.5326,0.91281,0.99022,1,0.995,0.85661,0.99022,1,0.995,0.82801,0.68611,0.95232,0.42935,0.95757,0.00135344,0.00135344,0.00135344
59,287.71,0.74959,0.97656,0.51042,0.87411,0.99514,1,0.995,0.87999,0.99514,1,0.995,0.84685,0.68275,0.93539,0.47296,0.95428,0.00134794,0.00134794,0.00134794
60,292.286,0.75224,0.9721,0.51042,0.895,0.97788,1,0.9949,0.86251,0.97788,1,0.9949,0.8504,0.77507,0.92808,0.48932,0.9876,0.00134244,0.00134244,0.00134244
61,297.033,0.76876,1.00062,0.51802,0.91265,0.99118,1,0.995,0.85165,0.99118,1,0.995,0.84708,0.89737,1.01601,0.5417,1.03282,0.00133693,0.00133693,0.00133693
62,301.743,0.67264,0.93739,0.49236,0.90587,0.9933,1,0.995,0.87458,0.9933,1,0.995,0.84046,0.81949,0.88649,0.55319,0.99859,0.00133143,0.00133143,0.00133143
63,306.511,0.78113,1.01816,0.52535,0.90621,0.99731,1,0.995,0.8566,0.99731,1,0.995,0.85311,0.70801,0.83365,0.52123,0.95455,0.00132593,0.00132593,0.00132593
64,311.252,0.71543,0.87952,0.49832,0.89671,0.98816,1,0.995,0.828,0.98816,1,0.995,0.79248,0.76634,0.95915,0.47851,0.97905,0.00132043,0.00132043,0.00132043
65,315.988,0.8523,1.13978,0.53933,0.93996,0.99393,0.99883,0.995,0.82932,0.99393,0.99883,0.995,0.81843,0.77417,0.92468,0.47166,0.98624,0.00131493,0.00131493,0.00131493
66,320.746,0.77851,0.96141,0.53825,0.92442,0.99345,1,0.995,0.84938,0.99345,1,0.995,0.84385,0.67587,0.9527,0.44723,0.95329,0.00130943,0.00130943,0.00130943
67,325.373,0.68972,0.8362,0.46532,0.89987,0.9933,1,0.995,0.86101,0.9933,1,0.995,0.83537,0.92319,0.84019,0.46629,1.06511,0.00130393,0.00130393,0.00130393
68,329.88,0.69286,0.82718,0.4643,0.87956,0.98219,1,0.99452,0.85794,0.98219,1,0.99452,0.85899,0.7334,0.82967,0.49757,0.96556,0.00129843,0.00129843,0.00129843
69,334.705,0.7268,0.93276,0.48167,0.91323,0.98221,1,0.995,0.86508,0.98221,1,0.995,0.85459,0.8292,0.80697,0.48172,1.00804,0.00129293,0.00129293,0.00129293
70,339.59,0.6936,0.86651,0.49517,0.89578,0.98931,1,0.995,0.87435,0.98931,1,0.995,0.86788,0.73894,0.79056,0.43037,0.97684,0.00128742,0.00128742,0.00128742
71,344.31,0.7519,0.93054,0.49183,0.91107,0.99268,1,0.995,0.87945,0.99268,1,0.995,0.84143,0.9221,0.75725,0.47602,1.08146,0.00128192,0.00128192,0.00128192
72,349.218,0.68594,0.82597,0.48187,0.89832,0.99375,0.99999,0.995,0.89058,0.99375,0.99999,0.995,0.85357,0.74455,0.72559,0.45543,0.98629,0.00127642,0.00127642,0.00127642
73,354.168,0.69598,0.87539,0.46994,0.87914,0.99383,1,0.995,0.87658,0.99383,1,0.995,0.85162,0.74596,0.85311,0.45599,0.97495,0.00127092,0.00127092,0.00127092
74,358.861,0.74076,0.92529,0.49255,0.90564,0.99013,1,0.995,0.86412,0.99013,1,0.995,0.85146,0.7133,0.83076,0.43529,0.96464,0.00126542,0.00126542,0.00126542
75,363.661,0.65416,0.87598,0.45383,0.88432,0.99183,1,0.995,0.87378,0.99183,1,0.995,0.861,0.78113,0.85637,0.42679,0.9862,0.00125992,0.00125992,0.00125992
76,368.364,0.70568,0.87249,0.47492,0.91563,0.99198,1,0.995,0.87499,0.99198,1,0.995,0.85431,0.8717,0.80347,0.45818,1.05721,0.00125442,0.00125442,0.00125442
77,373.022,0.72343,0.90016,0.50776,0.91435,0.99399,1,0.995,0.85662,0.99399,1,0.995,0.85913,0.97643,0.86191,0.45953,1.13909,0.00124892,0.00124892,0.00124892
78,377.789,0.68262,0.87345,0.47179,0.87988,0.98653,1,0.995,0.87342,0.98653,1,0.995,0.85087,0.91476,0.94365,0.4484,1.09795,0.00124342,0.00124342,0.00124342
