epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8029,2.00483,5.12601,5.02189,1.74798,0.00144,0.56863,0.04484,0.03878,0.00144,0.56863,0.04484,0.04208,1.53246,3.48903,4.20508,1.4965,0.00020004,0.00020004,0.00020004
2,18.3487,1.66042,3.249,3.38412,1.33612,0.00213,0.71569,0.0069,0.00446,0.0018,0.64706,0.00739,0.00574,1.34605,3.27371,4.03162,1.32455,0.000415375,0.000415375,0.000415375
3,24.8248,1.50232,2.84502,2.6935,1.26398,0.00076,0.37647,0.00238,0.00141,0.00106,0.51961,0.00566,0.00444,1.26946,2.84101,3.75089,1.28791,0.000629279,0.000629279,0.000629279
4,30.5757,1.36921,2.60834,2.30394,1.16936,0.00167,0.63725,0.12763,0.0984,0.00173,0.64706,0.12755,0.11222,1.33145,2.97873,3.3329,1.30399,0.000841753,0.000841753,0.000841753
5,35.8211,1.36865,2.24095,2.07568,1.15836,0.00334,0.82353,0.7302,0.46813,0.00341,0.90392,0.70971,0.41088,1.22694,3.0503,2.95158,1.22784,0.0010528,0.0010528,0.0010528
6,41.0872,1.3365,2.23228,2.11329,1.1651,1,0.38629,0.97823,0.70374,1,0.38629,0.97151,0.65581,1.17959,2.31915,2.45232,1.19129,0.00126241,0.00126241,0.00126241
7,45.9673,1.26274,2.04349,1.77166,1.08638,0.96182,0.82032,0.98109,0.70567,0.96182,0.82032,0.97526,0.67435,1.24324,2.24803,1.97612,1.23707,0.00147059,0.00147059,0.00147059
8,50.9464,1.22842,1.96562,1.53825,1.068,0.96971,0.98236,0.98853,0.72494,0.96971,0.98236,0.98828,0.66692,1.16364,2.33096,1.3953,1.19256,0.00162849,0.00162849,0.00162849
9,55.751,1.15154,1.89118,1.53268,1.05186,0.95575,0.90262,0.97701,0.70523,0.95575,0.90262,0.97701,0.66469,1.16519,2.32241,1.21879,1.18648,0.00162299,0.00162299,0.00162299
10,60.3659,1.12287,1.84345,1.5011,1.04565,0.98994,0.98532,0.99442,0.72309,0.98994,0.98532,0.99442,0.69803,1.18144,2.1805,1.11004,1.19189,0.00161749,0.00161749,0.00161749
11,65.3064,1.21712,1.82262,1.41408,1.0884,0.91762,0.99107,0.99192,0.71731,0.91762,0.99107,0.99192,0.71238,1.23223,2.26805,1.0473,1.22643,0.00161199,0.00161199,0.00161199
12,70.9251,1.18244,1.99086,1.44467,1.08512,0.96897,0.99666,0.99452,0.74725,0.96897,0.99666,0.99452,0.74772,1.02274,1.67516,1.0471,1.10176,0.00160649,0.00160649,0.00160649
13,76.8656,1.20732,1.80683,1.30513,1.06043,0.9435,0.96078,0.97828,0.69141,0.92171,0.94118,0.96154,0.63871,1.27626,2.02716,1.17785,1.28136,0.00160099,0.00160099,0.00160099
14,81.7228,1.1081,1.64584,1.26237,1.02078,0.95779,0.99369,0.98741,0.75175,0.95779,0.99369,0.98741,0.72172,1.07407,1.8786,1.12524,1.12694,0.00159549,0.00159549,0.00159549
15,86.4093,1.10248,1.66782,1.27378,1.0262,0.95985,0.99474,0.99422,0.76976,0.95985,0.99474,0.99422,0.72461,0.98731,1.73456,0.95862,1.06547,0.00158998,0.00158998,0.00158998
16,91.1481,1.07979,1.57796,1.16581,1.03179,0.96475,0.99832,0.99471,0.77396,0.96475,0.99832,0.99471,0.7481,1.03348,1.67975,0.97865,1.10746,0.00158448,0.00158448,0.00158448
17,95.698,1.11238,1.59864,1.11236,1.03396,0.96474,1,0.99202,0.78373,0.96474,1,0.99202,0.80321,0.93854,1.38553,0.80813,1.04455,0.00157898,0.00157898,0.00157898
18,100.296,1.08036,1.5124,1.0845,1.02451,0.95242,0.98801,0.99344,0.75285,0.95242,0.98801,0.99344,0.78124,1.06876,1.57667,0.80577,1.10495,0.00157348,0.00157348,0.00157348
19,105.09,1.04787,1.40405,1.05575,1.03288,0.99785,0.99796,0.995,0.78366,0.99785,0.99796,0.995,0.78508,0.94742,1.44657,0.73829,1.04283,0.00156798,0.00156798,0.00156798
20,109.887,0.99859,1.39716,0.92033,0.98006,0.98887,0.99854,0.995,0.77498,0.98887,0.99854,0.995,0.78528,0.93216,1.4189,0.65598,1.02391,0.00156248,0.00156248,0.00156248
21,115.233,0.98451,1.37901,0.93022,0.97136,0.95744,1,0.99149,0.78761,0.95744,1,0.99149,0.77246,0.95447,1.45985,0.68368,1.04204,0.00155698,0.00155698,0.00155698
22,119.705,1.00422,1.36647,0.91433,0.98479,0.98228,0.9909,0.9949,0.77521,0.98228,0.9909,0.9949,0.80471,0.90843,1.31501,0.66297,1.01984,0.00155148,0.00155148,0.00155148
23,124.408,0.94733,1.33472,0.84987,0.96159,0.98649,1,0.995,0.7476,0.98649,1,0.995,0.81779,0.95594,1.21991,0.62318,1.03518,0.00154598,0.00154598,0.00154598
