epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6345,0.42794,0.35367,1.8298,0.82568,0.88972,0.17352,0.89559,0.84465,0.88972,0.17352,0.89569,0.88166,0.33113,0.20133,2.50958,0.79978,0.000548258,0.000548258,0.000548258
2,68.2667,0.43468,0.28168,1.05089,0.84254,0.98615,0.98521,0.99346,0.92595,0.98615,0.98521,0.99346,0.95648,0.36807,0.31162,0.7596,0.82734,0.001093,0.001093,0.001093
3,97.5729,0.45691,0.28117,0.84842,0.8526,0.99006,1,0.99484,0.94907,0.99006,1,0.99484,0.98502,0.33294,0.19232,0.5354,0.81579,0.00162673,0.00162673,0.00162673
4,126.711,0.42546,0.25787,0.66906,0.84348,0.99746,1,0.995,0.94191,0.99746,1,0.995,0.98123,0.30971,0.16746,0.36992,0.80412,0.00161749,0.00161749,0.00161749
5,156.015,0.40001,0.24043,0.55081,0.84296,0.99859,1,0.995,0.96886,0.99859,1,0.995,0.99115,0.30542,0.15643,0.32796,0.80714,0.00160099,0.00160099,0.00160099
6,186.02,0.3703,0.21833,0.48787,0.83454,0.99913,1,0.995,0.9749,0.99913,1,0.995,0.98863,0.24981,0.14958,0.28193,0.7969,0.00158448,0.00158448,0.00158448
7,216.616,0.35706,0.23895,0.42491,0.82433,0.99892,1,0.995,0.98107,0.99892,1,0.995,0.98735,0.25733,0.15657,0.30254,0.79311,0.00156798,0.00156798,0.00156798
8,247.457,0.34625,0.23938,0.41628,0.82714,0.99726,0.98751,0.995,0.96134,0.99726,0.98751,0.995,0.98688,0.2758,0.15817,0.30952,0.79777,0.00155148,0.00155148,0.00155148
9,278.143,0.34658,0.24854,0.38736,0.82446,0.99768,1,0.995,0.98219,0.99768,1,0.995,0.98892,0.23268,0.14551,0.45797,0.791,0.00153497,0.00153497,0.00153497
10,308.445,0.3301,0.22335,0.3711,0.81558,0.97578,0.97387,0.99313,0.97566,0.97578,0.97387,0.99313,0.9863,0.24158,0.15396,0.28711,0.79295,0.00151847,0.00151847,0.00151847
11,337.058,0.32279,0.21378,0.32308,0.81581,0.99897,1,0.995,0.98883,0.99897,1,0.995,0.98843,0.21478,0.14009,0.23918,0.78943,0.00150197,0.00150197,0.00150197
12,365.721,0.32319,0.21545,0.32289,0.82017,0.99866,1,0.995,0.98713,0.99866,1,0.995,0.98822,0.23198,0.1406,0.24016,0.78954,0.00148546,0.00148546,0.00148546
13,393.27,0.30486,0.21071,0.30995,0.81147,0.99904,1,0.995,0.98542,0.99904,1,0.995,0.98884,0.21216,0.13889,0.2175,0.79328,0.00146896,0.00146896,0.00146896
14,421.161,0.30286,0.22287,0.29958,0.82018,0.91049,0.95621,0.99084,0.98738,0.91049,0.95621,0.99084,0.98383,0.20455,0.15464,0.35962,0.78497,0.00145246,0.00145246,0.00145246
15,449.959,0.29343,0.19984,0.2774,0.81526,0.99919,1,0.995,0.98913,0.99919,1,0.995,0.99026,0.20775,0.13708,0.20602,0.78507,0.00143595,0.00143595,0.00143595
16,479.374,0.3008,0.2142,0.28371,0.81679,0.99894,1,0.995,0.99332,0.99894,1,0.995,0.98943,0.18721,0.13773,0.19512,0.7838,0.00141945,0.00141945,0.00141945
17,509.778,0.28042,0.21331,0.27112,0.81446,0.99894,1,0.995,0.99431,0.99894,1,0.995,0.98611,0.19975,0.14856,0.18937,0.7852,0.00140295,0.00140295,0.00140295
18,540.109,0.28042,0.19904,0.26743,0.81712,0.99897,1,0.995,0.99324,0.99897,1,0.995,0.99072,0.1876,0.14609,0.19471,0.78272,0.00138644,0.00138644,0.00138644
19,571.385,0.279,0.19308,0.25973,0.81479,0.99736,0.99974,0.995,0.99335,0.99736,0.99974,0.995,0.98694,0.19929,0.13865,0.18656,0.78376,0.00136994,0.00136994,0.00136994
20,603.244,0.26342,0.18958,0.26924,0.81051,0.98619,0.9959,0.995,0.995,0.98619,0.9959,0.995,0.9862,0.1796,0.13242,0.19608,0.78244,0.00135344,0.00135344,0.00135344
21,637.818,0.26554,0.19518,0.25509,0.81783,0.99908,1,0.995,0.995,0.99908,1,0.995,0.98615,0.16718,0.13567,0.18099,0.77978,0.00133693,0.00133693,0.00133693
22,670.6,0.26644,0.20093,0.24608,0.80989,0.99934,1,0.995,0.995,0.99934,1,0.995,0.98723,0.18083,0.13832,0.17568,0.78308,0.00132043,0.00132043,0.00132043
23,704.51,0.26541,0.19033,0.25308,0.81071,0.99906,1,0.995,0.99402,0.99906,1,0.995,0.98414,0.18541,0.12674,0.18168,0.785,0.00130393,0.00130393,0.00130393
24,737.438,0.25539,0.18452,0.24592,0.80912,0.99931,1,0.995,0.99071,0.99931,1,0.995,0.98496,0.18907,0.14404,0.18343,0.78285,0.00128742,0.00128742,0.00128742
25,768.357,0.25764,0.19079,0.24964,0.81568,0.99809,1,0.995,0.99462,0.99809,1,0.995,0.99124,0.15576,0.12741,0.17152,0.77744,0.00127092,0.00127092,0.00127092
26,799.793,0.25681,0.1811,0.22837,0.81032,0.99858,1,0.995,0.99405,0.99858,1,0.995,0.98975,0.16767,0.13376,0.15999,0.77826,0.00125442,0.00125442,0.00125442
27,831.39,0.25914,0.19116,0.23989,0.81097,0.9719,0.98782,0.995,0.995,0.9719,0.98782,0.995,0.9898,0.172,0.13223,0.20808,0.77988,0.00123791,0.00123791,0.00123791
28,862.538,0.24917,0.19395,0.22505,0.80573,0.99923,1,0.995,0.9938,0.99923,1,0.995,0.98796,0.16514,0.13989,0.1657,0.77946,0.00122141,0.00122141,0.00122141
