epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7013,0.42794,0.35367,1.8298,0.82568,0.88972,0.17352,0.89559,0.84465,0.88972,0.17352,0.89569,0.88166,0.33113,0.20133,2.50958,0.79978,0.000548258,0.000548258,0.000548258
2,68.5176,0.43389,0.28423,1.05011,0.84204,0.82374,0.85327,0.85313,0.80932,0.82374,0.85327,0.85313,0.82734,0.36325,0.31908,1.21833,0.83041,0.00109846,0.00109846,0.00109846
3,98.4297,0.46596,0.28208,0.8779,0.85653,0.99869,1,0.995,0.94097,0.99869,1,0.995,0.98202,0.34484,0.16637,0.60184,0.82844,0.00164316,0.00164316,0.00164316
4,127.447,0.42301,0.25137,0.65585,0.84413,0.96894,0.98587,0.99487,0.94722,0.96894,0.98587,0.99487,0.97819,0.3339,0.18529,0.45767,0.81891,0.00164225,0.00164225,0.00164225
5,156.84,0.40123,0.2318,0.54213,0.84238,0.99906,1,0.995,0.96752,0.99906,1,0.995,0.9841,0.28035,0.15349,0.31693,0.80322,0.00163399,0.00163399,0.00163399
6,187.497,0.37268,0.22241,0.46611,0.83528,0.99916,1,0.995,0.96233,0.99916,1,0.995,0.98041,0.28826,0.15011,0.31067,0.80847,0.00162574,0.00162574,0.00162574
7,219.925,0.36454,0.23234,0.4177,0.8276,0.99934,1,0.995,0.97623,0.99934,1,0.995,0.99175,0.26568,0.16042,0.26763,0.79901,0.00161749,0.00161749,0.00161749
8,243.061,0.3568,0.2406,0.40744,0.82801,0.99917,1,0.995,0.98411,0.99917,1,0.995,0.98416,0.24536,0.15552,0.25903,0.79213,0.00160924,0.00160924,0.00160924
9,263.781,0.34291,0.25387,0.38473,0.82303,0.98797,0.99821,0.995,0.98182,0.98797,0.99821,0.995,0.98222,0.23281,0.18039,0.34772,0.79528,0.00160099,0.00160099,0.00160099
10,284.618,0.32697,0.22794,0.35485,0.81591,0.99828,1,0.995,0.97408,0.99828,1,0.995,0.98706,0.23051,0.16533,0.26267,0.79094,0.00159274,0.00159274,0.00159274
11,305.529,0.32661,0.21537,0.33417,0.81607,0.99734,1,0.995,0.98238,0.99734,1,0.995,0.98658,0.23169,0.14124,0.24197,0.79023,0.00158448,0.00158448,0.00158448
12,326.862,0.3189,0.21462,0.31503,0.82005,0.99904,1,0.995,0.9835,0.99904,1,0.995,0.98951,0.24196,0.14839,0.23352,0.79438,0.00157623,0.00157623,0.00157623
13,347.933,0.30202,0.21519,0.30386,0.81004,0.99924,1,0.995,0.98681,0.99924,1,0.995,0.98596,0.21563,0.14765,0.2413,0.79133,0.00156798,0.00156798,0.00156798
14,368.724,0.31208,0.2262,0.31416,0.82,0.99926,1,0.995,0.98903,0.99926,1,0.995,0.98636,0.20622,0.14928,0.22585,0.78605,0.00155973,0.00155973,0.00155973
15,389.775,0.30722,0.19955,0.29498,0.81849,0.9989,1,0.995,0.99089,0.9989,1,0.995,0.99009,0.21408,0.13973,0.2084,0.78647,0.00155148,0.00155148,0.00155148
16,410.742,0.29309,0.20969,0.28044,0.81401,0.99918,1,0.995,0.98936,0.99918,1,0.995,0.99046,0.1934,0.14342,0.19491,0.78415,0.00154323,0.00154323,0.00154323
17,432.171,0.2947,0.21861,0.27391,0.81681,0.99913,1,0.995,0.9928,0.99913,1,0.995,0.99026,0.19493,0.16048,0.19773,0.78279,0.00153497,0.00153497,0.00153497
18,453.861,0.29243,0.19785,0.27309,0.81951,0.99926,1,0.995,0.99155,0.99926,1,0.995,0.99061,0.20028,0.13885,0.1996,0.78851,0.00152672,0.00152672,0.00152672
19,475.214,0.2812,0.19398,0.25771,0.81566,0.99926,1,0.995,0.98856,0.99926,1,0.995,0.98149,0.21141,0.13629,0.19962,0.78464,0.00151847,0.00151847,0.00151847
20,496.577,0.27304,0.18914,0.2652,0.8109,0.9984,1,0.995,0.98911,0.9984,1,0.995,0.98706,0.20407,0.14095,0.19242,0.78681,0.00151022,0.00151022,0.00151022
21,517.855,0.28308,0.20087,0.25808,0.81829,0.99902,1,0.995,0.98991,0.99902,1,0.995,0.98452,0.2084,0.1416,0.19225,0.78731,0.00150197,0.00150197,0.00150197
22,539.483,0.29029,0.20238,0.26587,0.81319,0.97366,0.98889,0.98825,0.98341,0.97366,0.98889,0.98825,0.97787,0.20288,0.14986,0.24683,0.7848,0.00149372,0.00149372,0.00149372
