epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7248,0.42189,0.34641,1.76732,0.82548,0.83316,0.35512,0.80699,0.7282,0.83316,0.35512,0.80701,0.80002,0.42891,0.20406,2.4813,0.81932,0.000549352,0.000549352,0.000549352
2,52.703,0.42452,0.29074,1.00622,0.83857,0.99728,1,0.995,0.93607,0.99728,1,0.995,0.99066,0.36521,0.16617,0.68473,0.81693,0.00109408,0.00109408,0.00109408
3,74.2667,0.42737,0.27605,0.76683,0.84004,0.88032,0.89964,0.91038,0.85161,0.88032,0.89964,0.91039,0.90353,0.36487,0.18735,0.69071,0.80476,0.0016278,0.0016278,0.0016278
4,96.0139,0.41869,0.24973,0.60197,0.84121,0.95391,0.97077,0.9789,0.93899,0.95391,0.97077,0.9789,0.95741,0.31492,0.18311,0.41765,0.79746,0.00161749,0.00161749,0.00161749
5,117.648,0.3848,0.246,0.50233,0.83184,0.98831,0.99692,0.995,0.97612,0.98831,0.99692,0.995,0.98705,0.27144,0.15692,0.32043,0.79421,0.00160099,0.00160099,0.00160099
6,139.543,0.35953,0.22944,0.43395,0.82832,0.99899,1,0.995,0.97041,0.99899,1,0.995,0.98707,0.26629,0.16357,0.26225,0.78739,0.00158448,0.00158448,0.00158448
7,161.704,0.36571,0.24392,0.39793,0.82504,0.9985,1,0.995,0.98669,0.9985,1,0.995,0.9897,0.25225,0.15707,0.2612,0.78571,0.00156798,0.00156798,0.00156798
8,184.36,0.35932,0.23748,0.38019,0.82476,0.99878,1,0.995,0.98791,0.99878,1,0.995,0.98599,0.23135,0.16848,0.23407,0.78362,0.00155148,0.00155148,0.00155148
9,207.433,0.33641,0.2385,0.33018,0.82724,0.99835,1,0.995,0.99312,0.99835,1,0.995,0.97979,0.20537,0.18439,0.22503,0.78282,0.00153497,0.00153497,0.00153497
10,230.309,0.32759,0.23524,0.3041,0.82746,0.99887,1,0.995,0.98312,0.99887,1,0.995,0.98386,0.21852,0.1474,0.21517,0.78267,0.00151847,0.00151847,0.00151847
11,253.554,0.31083,0.21654,0.29837,0.81725,0.99902,1,0.995,0.98297,0.99902,1,0.995,0.98947,0.2028,0.14624,0.20637,0.78156,0.00150197,0.00150197,0.00150197
12,277.184,0.30431,0.22085,0.2977,0.81859,0.99906,1,0.995,0.98967,0.99906,1,0.995,0.98828,0.19485,0.14319,0.19624,0.77696,0.00148546,0.00148546,0.00148546
13,300.815,0.29855,0.22236,0.2749,0.81424,0.999,1,0.995,0.99232,0.999,1,0.995,0.98712,0.1925,0.14497,0.19847,0.7782,0.00146896,0.00146896,0.00146896
14,324.592,0.28867,0.20336,0.26645,0.81126,0.99847,1,0.995,0.99363,0.99847,1,0.995,0.98697,0.18955,0.12825,0.19604,0.78058,0.00145246,0.00145246,0.00145246
15,348.311,0.28717,0.21862,0.27215,0.82154,0.99901,1,0.995,0.99455,0.99901,1,0.995,0.98778,0.1819,0.13859,0.18474,0.78211,0.00143595,0.00143595,0.00143595
16,371.827,0.28212,0.21007,0.26521,0.81632,0.99859,1,0.995,0.98375,0.99859,1,0.995,0.98156,0.21676,0.13992,0.19543,0.77967,0.00141945,0.00141945,0.00141945
17,395.398,0.27336,0.20318,0.26974,0.8122,0.99902,1,0.995,0.99453,0.99902,1,0.995,0.98957,0.17089,0.1346,0.17225,0.77235,0.00140295,0.00140295,0.00140295
18,419.221,0.28105,0.20717,0.2647,0.81134,0.99906,1,0.995,0.99412,0.99906,1,0.995,0.98916,0.18873,0.13512,0.18007,0.77692,0.00138644,0.00138644,0.00138644
19,443.053,0.27549,0.21841,0.25222,0.81741,0.99837,1,0.995,0.99141,0.99837,1,0.995,0.99081,0.18455,0.14714,0.17045,0.77554,0.00136994,0.00136994,0.00136994
20,466.534,0.28402,0.21746,0.25651,0.81816,0.99242,0.99988,0.995,0.99407,0.99242,0.99988,0.995,0.99018,0.18417,0.13657,0.1821,0.778,0.00135344,0.00135344,0.00135344
21,490.403,0.26876,0.20926,0.24237,0.81418,0.99913,1,0.995,0.99254,0.99913,1,0.995,0.98673,0.19318,0.13395,0.17526,0.77791,0.00133693,0.00133693,0.00133693
22,514.026,0.26361,0.2102,0.23416,0.80616,0.99903,1,0.995,0.99299,0.99903,1,0.995,0.9858,0.18225,0.14582,0.17437,0.7734,0.00132043,0.00132043,0.00132043
23,537.968,0.25955,0.20101,0.2263,0.80776,0.99903,1,0.995,0.995,0.99903,1,0.995,0.98779,0.17626,0.1326,0.15537,0.77294,0.00130393,0.00130393,0.00130393
24,562.086,0.25647,0.19986,0.22611,0.80475,0.9942,1,0.995,0.995,0.9942,1,0.995,0.98655,0.16249,0.13072,0.16656,0.77262,0.00128742,0.00128742,0.00128742
25,586.087,0.25787,0.19485,0.22298,0.81012,0.99888,1,0.995,0.99364,0.99888,1,0.995,0.9908,0.1688,0.13955,0.16536,0.77392,0.00127092,0.00127092,0.00127092
26,610.007,0.25261,0.19941,0.2237,0.81033,0.99914,1,0.995,0.99355,0.99914,1,0.995,0.98962,0.1661,0.12594,0.15879,0.77192,0.00125442,0.00125442,0.00125442
27,634.422,0.24909,0.19363,0.22478,0.80714,0.99907,1,0.995,0.99386,0.99907,1,0.995,0.9898,0.17645,0.13642,0.17213,0.77637,0.00123791,0.00123791,0.00123791
28,658.483,0.24715,0.21428,0.22493,0.80735,0.99888,1,0.995,0.99433,0.99888,1,0.995,0.98712,0.16509,0.1258,0.16188,0.7727,0.00122141,0.00122141,0.00122141
29,682.799,0.24953,0.19514,0.22541,0.80518,0.99801,1,0.995,0.995,0.99801,1,0.995,0.98893,0.15382,0.13305,0.15546,0.77044,0.00120491,0.00120491,0.00120491
30,707.087,0.25248,0.19784,0.22339,0.81265,0.99909,1,0.995,0.99481,0.99909,1,0.995,0.99078,0.15274,0.13262,0.15225,0.77196,0.0011884,0.0011884,0.0011884
31,731.021,0.24212,0.19835,0.21175,0.80929,0.99881,1,0.995,0.995,0.99881,1,0.995,0.9868,0.15131,0.13186,0.15126,0.77214,0.0011719,0.0011719,0.0011719
32,755.239,0.2459,0.1999,0.21118,0.80869,0.99893,1,0.995,0.99462,0.99893,1,0.995,0.98924,0.16445,0.12953,0.15221,0.77293,0.0011554,0.0011554,0.0011554
33,779.463,0.23709,0.19091,0.20444,0.80893,0.99904,1,0.995,0.995,0.99904,1,0.995,0.98636,0.15299,0.12806,0.15186,0.77197,0.00113889,0.00113889,0.00113889
34,803.982,0.23959,0.19726,0.21379,0.80461,0.9989,1,0.995,0.99379,0.9989,1,0.995,0.98945,0.14245,0.13217,0.13989,0.76995,0.00112239,0.00112239,0.00112239
35,828.324,0.23404,0.19849,0.2074,0.80329,0.99909,1,0.995,0.995,0.99909,1,0.995,0.99014,0.15659,0.13016,0.13912,0.77167,0.00110589,0.00110589,0.00110589
36,852.59,0.23849,0.19822,0.20684,0.80175,0.99891,1,0.995,0.995,0.99891,1,0.995,0.98789,0.15257,0.12813,0.13997,0.77272,0.00108938,0.00108938,0.00108938
37,876.894,0.22785,0.19873,0.20443,0.80897,0.99894,1,0.995,0.995,0.99894,1,0.995,0.98718,0.145,0.12905,0.1438,0.76981,0.00107288,0.00107288,0.00107288
38,900.91,0.23289,0.1868,0.19774,0.80406,0.99894,1,0.995,0.99478,0.99894,1,0.995,0.98974,0.15408,0.12423,0.14281,0.77166,0.00105638,0.00105638,0.00105638
39,924.817,0.22775,0.19589,0.19378,0.8044,0.99901,1,0.995,0.9948,0.99901,1,0.995,0.99091,0.14349,0.12018,0.13738,0.76913,0.00103987,0.00103987,0.00103987
