epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5359.54,0.34088,0.47529,0.35944,0.80222,0.99572,1,0.995,0.92448,0.98617,0.99048,0.98876,0.77151,0.31533,0.37358,0.31901,0.79632,0.000608468,0.000608468,0.000608468
31,5536.36,0.35124,0.51183,0.36013,0.80404,0.99345,1,0.995,0.92451,0.9839,0.99048,0.98837,0.79917,0.31175,0.35072,0.3161,0.79523,0.000580174,0.000580174,0.000580174
32,5720.81,0.33931,0.46357,0.33568,0.80266,0.99398,1,0.995,0.92156,0.98443,0.99048,0.9862,0.78955,0.29367,0.4077,0.31367,0.79546,0.00055188,0.00055188,0.00055188
33,5898.62,0.33789,0.45265,0.33541,0.79945,0.99462,1,0.995,0.92453,0.98325,0.99885,0.99083,0.76294,0.29718,0.40741,0.3055,0.79418,0.000523586,0.000523586,0.000523586
34,6075.1,0.35472,0.4398,0.34162,0.80355,0.99577,1,0.995,0.91604,0.99577,1,0.995,0.80705,0.32255,0.33106,0.31666,0.79535,0.000495291,0.000495291,0.000495291
35,6252.27,0.33802,0.45483,0.3456,0.80471,0.99227,1,0.995,0.92848,0.99227,1,0.995,0.80943,0.28535,0.34183,0.29654,0.79436,0.000466997,0.000466997,0.000466997
36,6429.55,0.31279,0.43745,0.31889,0.80162,0.99624,1,0.995,0.93543,0.98667,0.99048,0.99124,0.79425,0.28651,0.36719,0.28769,0.79349,0.000438703,0.000438703,0.000438703
37,6607.59,0.31988,0.45636,0.31554,0.80013,0.99433,0.99963,0.995,0.92942,0.98478,0.99016,0.9901,0.82412,0.28411,0.33518,0.28081,0.79181,0.000410409,0.000410409,0.000410409
38,6789.68,0.31851,0.40316,0.31782,0.79433,0.99649,1,0.995,0.92911,0.98695,0.99048,0.98829,0.81921,0.27045,0.3261,0.2781,0.79196,0.000382115,0.000382115,0.000382115
39,6972.52,0.30187,0.38321,0.31307,0.78915,0.99499,1,0.995,0.93541,0.98541,0.99048,0.99403,0.80883,0.25647,0.32162,0.26967,0.79054,0.00035382,0.00035382,0.00035382
40,7149.5,0.2943,0.41198,0.30381,0.79574,0.99531,1,0.995,0.93561,0.99531,1,0.995,0.81669,0.26978,0.33076,0.26909,0.79077,0.000325526,0.000325526,0.000325526
41,7323.97,0.27852,0.39099,0.28806,0.77765,0.99444,1,0.995,0.93859,0.99444,1,0.995,0.82635,0.2657,0.31931,0.266,0.78959,0.000297232,0.000297232,0.000297232
42,7499.59,0.26155,0.37367,0.27442,0.78646,0.99641,0.99879,0.995,0.93659,0.98683,0.9895,0.99111,0.80047,0.26019,0.33845,0.26318,0.78973,0.000268938,0.000268938,0.000268938
43,7667.96,0.27193,0.37968,0.27819,0.78441,0.99651,0.98972,0.99481,0.93524,0.98667,0.98027,0.99041,0.80518,0.25094,0.3388,0.25347,0.7894,0.000240644,0.000240644,0.000240644
44,7838.49,0.26575,0.37916,0.27256,0.77906,0.99477,1,0.995,0.9425,0.98516,0.99048,0.99158,0.80668,0.24863,0.33164,0.25309,0.78789,0.000212349,0.000212349,0.000212349
45,8004.7,0.25318,0.37267,0.26569,0.77192,0.99629,0.99907,0.995,0.94254,0.99629,0.99907,0.995,0.8116,0.2482,0.32257,0.24324,0.78773,0.000184055,0.000184055,0.000184055
46,8186.49,0.24384,0.3641,0.25667,0.77785,0.99372,1,0.995,0.93532,0.99372,1,0.995,0.80981,0.25365,0.34865,0.24521,0.78922,0.000155761,0.000155761,0.000155761
47,8366.66,0.24537,0.35694,0.2566,0.77438,0.99389,1,0.995,0.94217,0.98434,0.99048,0.99289,0.80572,0.24438,0.31883,0.24182,0.7886,0.000127467,0.000127467,0.000127467
48,8539.31,0.23911,0.35158,0.24879,0.77673,0.99469,1,0.995,0.94288,0.98511,0.99048,0.99276,0.81185,0.24444,0.32978,0.23882,0.7883,9.91726e-05,9.91726e-05,9.91726e-05
49,8716.38,0.2386,0.35906,0.24522,0.77376,0.99506,1,0.995,0.94558,0.9855,0.99048,0.99273,0.81509,0.23971,0.31858,0.23424,0.78783,7.08784e-05,7.08784e-05,7.08784e-05
50,8893.29,0.23024,0.3512,0.24195,0.78099,0.99425,1,0.995,0.94971,0.98478,0.99048,0.99321,0.81562,0.22916,0.3101,0.22889,0.78743,4.25842e-05,4.25842e-05,4.25842e-05
