epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3044,0.42031,0.48745,2.0792,0.85604,0.64014,0.86649,0.91975,0.8305,0.64708,0.87282,0.92407,0.87992,0.40675,0.41615,4.6499,0.83474,0.000541044,0.000541044,0.000541044
2,32.6933,0.49489,0.30247,0.72096,0.86476,0.84819,0.88207,0.94132,0.73739,0.85351,0.88762,0.94067,0.7926,0.6996,1.04594,1.23195,0.99363,0.00108585,0.00108585,0.00108585
3,48.0116,0.54127,0.31054,0.71771,0.87452,0.24598,0.76606,0.21907,0.17372,0.24567,0.75495,0.21709,0.17407,0.89924,9.34543,18.6863,1.18434,0.00161966,0.00161966,0.00161966
4,63.2827,0.5316,0.30895,0.62896,0.87829,0.95784,0.86695,0.93669,0.8315,0.96144,0.8725,0.9416,0.89565,0.53748,0.28918,1.5032,0.90951,0.00161749,0.00161749,0.00161749
5,78.9263,0.49434,0.26709,0.54245,0.8665,0.00492,0.55745,0.00452,0.00383,0.00492,0.55745,0.00426,0.00334,0.98241,10.2703,inf,1.34555,0.00160099,0.00160099,0.00160099
6,94.1704,0.47347,0.25123,0.54016,0.86326,0.8503,0.95316,0.96517,0.89336,0.8503,0.95316,0.96359,0.93219,0.41609,0.68135,1.26922,0.855,0.00158448,0.00158448,0.00158448
7,109.66,0.42869,0.2616,0.42123,0.84308,0.96896,0.95761,0.98866,0.91146,0.96896,0.95761,0.98882,0.96519,0.46357,0.18838,0.47684,0.90784,0.00156798,0.00156798,0.00156798
8,125.16,0.41593,0.23931,0.37139,0.84178,0.99721,1,0.995,0.96696,0.99721,1,0.995,0.98909,0.30542,0.16675,0.27998,0.81029,0.00155148,0.00155148,0.00155148
9,141.339,0.42279,0.22685,0.41899,0.84035,0.99901,1,0.995,0.9502,0.99901,1,0.995,0.98707,0.34855,0.15613,0.30174,0.82234,0.00153497,0.00153497,0.00153497
10,157.905,0.42011,0.22877,0.40933,0.84669,0.98995,0.99796,0.995,0.96288,0.98995,0.99796,0.995,0.98587,0.32162,0.14863,0.30238,0.81242,0.00151847,0.00151847,0.00151847
11,174.821,0.39259,0.24899,0.41096,0.83848,0.99888,1,0.995,0.97756,0.99888,1,0.995,0.98684,0.27114,0.16038,0.24698,0.79967,0.00150197,0.00150197,0.00150197
12,192.464,0.3666,0.22978,0.36399,0.83959,0.99788,1,0.995,0.96504,0.99788,1,0.995,0.98751,0.28779,0.15673,0.25991,0.80354,0.00148546,0.00148546,0.00148546
13,210.13,0.38341,0.22774,0.35632,0.82835,0.99872,1,0.995,0.97248,0.99872,1,0.995,0.97455,0.26501,0.18079,0.24879,0.80359,0.00146896,0.00146896,0.00146896
14,228.024,0.37009,0.21192,0.35328,0.83587,0.9952,0.98652,0.995,0.96947,0.9952,0.98652,0.995,0.98771,0.28714,0.18601,0.30013,0.80726,0.00145246,0.00145246,0.00145246
15,246.133,0.37294,0.23037,0.34531,0.8247,0.99886,1,0.995,0.97957,0.99886,1,0.995,0.9904,0.24889,0.14165,0.23673,0.79596,0.00143595,0.00143595,0.00143595
16,264.386,0.36893,0.2177,0.32598,0.82961,0.98793,0.99901,0.99467,0.95949,0.98793,0.99901,0.99467,0.97365,0.30284,0.15591,0.28033,0.80946,0.00141945,0.00141945,0.00141945
17,282.778,0.35759,0.20619,0.32105,0.83052,0.99237,1,0.995,0.98423,0.99237,1,0.995,0.99023,0.23667,0.15032,0.24513,0.79857,0.00140295,0.00140295,0.00140295
18,301.066,0.32783,0.21526,0.33967,0.82877,0.99855,1,0.995,0.98133,0.99855,1,0.995,0.99119,0.23983,0.1495,0.23378,0.79682,0.00138644,0.00138644,0.00138644
19,319.355,0.32412,0.19583,0.30993,0.8265,0.99906,1,0.995,0.98896,0.99906,1,0.995,0.98965,0.21227,0.14604,0.2183,0.78996,0.00136994,0.00136994,0.00136994
20,337.934,0.33075,0.19844,0.29018,0.82334,0.99795,1,0.995,0.98496,0.99795,1,0.995,0.98014,0.2281,0.15103,0.21802,0.79273,0.00135344,0.00135344,0.00135344
21,356.296,0.32084,0.20356,0.27769,0.82811,0.99912,1,0.995,0.98712,0.99912,1,0.995,0.9876,0.22284,0.15378,0.21657,0.7916,0.00133693,0.00133693,0.00133693
22,374.694,0.29728,0.1976,0.28022,0.82577,0.99878,1,0.995,0.99051,0.99878,1,0.995,0.99017,0.21707,0.1388,0.21174,0.78958,0.00132043,0.00132043,0.00132043
23,393.118,0.29485,0.20511,0.27195,0.81881,0.99886,1,0.995,0.98293,0.99886,1,0.995,0.99126,0.23513,0.13044,0.21703,0.79389,0.00130393,0.00130393,0.00130393
24,411.518,0.30837,0.19551,0.31366,0.80744,0.99178,0.99461,0.995,0.99219,0.99178,0.99461,0.995,0.98831,0.21999,0.14539,0.22468,0.78913,0.00128742,0.00128742,0.00128742
25,429.997,0.28673,0.19083,0.25703,0.80181,0.99906,1,0.995,0.99037,0.99906,1,0.995,0.99006,0.20405,0.13344,0.19781,0.78486,0.00127092,0.00127092,0.00127092
26,448.423,0.27541,0.19471,0.27824,0.81823,0.9985,1,0.995,0.98826,0.9985,1,0.995,0.98746,0.2096,0.14025,0.20588,0.78527,0.00125442,0.00125442,0.00125442
