epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8134,1.51419,4.28103,4.31669,1.42153,0.00185,0.51961,0.26887,0.21573,0.00185,0.51961,0.26887,0.24509,1.15171,3.15348,3.89639,1.18872,0.00025005,0.00025005,0.00025005
2,19.5614,1.32506,2.53488,2.77707,1.16865,0.00143,0.49256,0.10407,0.07712,0.00148,0.5098,0.1047,0.09242,0.9908,2.56581,3.72416,1.0989,0.000515065,0.000515065,0.000515065
3,25.1726,1.14308,2.19259,2.16141,1.09419,0.00164,0.5098,0.1382,0.08753,0.00184,0.55882,0.13832,0.11136,1.17375,2.3043,3.56368,1.19014,0.000778319,0.000778319,0.000778319
4,30.3732,1.25998,2.19032,2.05365,1.13521,0.80595,0.22414,0.24322,0.22003,0.80595,0.22414,0.24339,0.22905,1.09494,2.21142,3.13032,1.14705,0.00103981,0.00103981,0.00103981
5,35.4572,1.19638,2.05286,1.85249,1.09588,0.5,0.20242,0.50818,0.44379,0.5,0.20242,0.50886,0.47179,1.12609,2.07673,2.71429,1.17954,0.00129955,0.00129955,0.00129955
6,40.6141,1.1461,1.89397,1.62586,1.06618,0.79442,0.54279,0.7966,0.58334,0.79442,0.54279,0.80353,0.58354,1.11595,1.8064,2.19785,1.15675,0.00155752,0.00155752,0.00155752
7,45.7281,1.08671,1.48027,1.53806,1.0474,0.95657,0.90435,0.97991,0.70735,0.94571,0.89454,0.96953,0.70954,1.06892,1.91366,1.77672,1.118,0.00163399,0.00163399,0.00163399
8,50.8699,1.13726,1.94891,1.58764,1.02746,0.95818,0.97632,0.98822,0.72305,0.95818,0.97632,0.98822,0.69774,1.02509,1.79033,1.10105,1.10087,0.00162849,0.00162849,0.00162849
9,56.0647,1.06308,1.59444,1.41968,1.01632,0.9158,0.97812,0.97697,0.72956,0.9158,0.97812,0.97697,0.73899,0.99657,1.49077,1.23894,1.06746,0.00162299,0.00162299,0.00162299
10,61.3378,1.0817,1.56682,1.31264,1.01816,0.96755,0.99292,0.99363,0.75792,0.96755,0.99292,0.99363,0.77032,0.94257,1.48837,0.95588,1.07336,0.00161749,0.00161749,0.00161749
11,66.3997,1.00615,1.46479,1.22261,1.0241,0.89179,0.96663,0.976,0.7348,0.89179,0.96663,0.976,0.7323,0.91885,1.38152,1.07636,1.04177,0.00161199,0.00161199,0.00161199
12,71.3194,0.95174,1.32525,1.10756,0.99971,0.98426,0.97059,0.99067,0.77308,0.98426,0.97059,0.99067,0.75043,0.89237,1.36672,0.85866,1.01734,0.00160649,0.00160649,0.00160649
13,76.3243,0.959,1.38563,1.09403,0.99228,0.9927,0.99699,0.995,0.76757,0.9927,0.99699,0.995,0.77597,0.84864,1.25288,0.72718,1.01004,0.00160099,0.00160099,0.00160099
14,81.4381,0.90696,1.40089,1.01416,0.97405,0.99282,0.9902,0.9949,0.76987,0.99282,0.9902,0.9949,0.75346,0.95668,1.33008,0.71789,1.06018,0.00159549,0.00159549,0.00159549
15,86.7429,0.91398,1.26786,0.96947,0.97784,0.98612,0.98993,0.995,0.77172,0.98612,0.98993,0.995,0.77255,0.92756,1.19346,0.95173,1.05894,0.00158998,0.00158998,0.00158998
16,91.6952,0.88325,1.2421,0.91895,0.9404,0.96642,1,0.99423,0.80558,0.96642,1,0.99423,0.79451,0.85158,1.20498,0.63633,1.0057,0.00158448,0.00158448,0.00158448
17,96.7426,0.87243,1.19587,0.89816,0.95226,0.99253,1,0.995,0.78678,0.99253,1,0.995,0.75365,0.81421,1.26076,0.68215,0.99079,0.00157898,0.00157898,0.00157898
18,101.55,0.89647,1.28213,0.88144,0.96179,0.99385,1,0.995,0.78601,0.99385,1,0.995,0.79657,0.91197,1.12807,0.63819,1.04163,0.00157348,0.00157348,0.00157348
19,106.492,0.85785,1.12375,0.78341,0.94078,0.9892,1,0.995,0.81368,0.9892,1,0.995,0.80454,0.79379,1.10597,0.6024,0.98807,0.00156798,0.00156798,0.00156798
20,111.309,0.87331,1.15962,0.80646,0.95236,0.97532,0.9902,0.99295,0.79234,0.98509,1,0.995,0.79417,0.80396,1.23169,0.59869,0.98126,0.00156248,0.00156248,0.00156248
21,116.294,0.91442,1.18927,0.81229,0.96121,0.98903,0.99861,0.995,0.83394,0.98903,0.99861,0.995,0.82845,0.82426,1.04426,0.58837,1.02222,0.00155698,0.00155698,0.00155698
22,121.276,0.96088,1.21967,0.82666,0.99951,0.97822,0.99684,0.995,0.79637,0.97822,0.99684,0.995,0.785,0.79507,1.09306,0.63188,1.00282,0.00155148,0.00155148,0.00155148
